번호,문제,정답,해설,choiceJson
1,UML 다이어그램 중 순차 다이어그램에 대한 설명으로 틀린 것은?,2,정답은 2번: 주로 시스템의 정적 측면을 모델링하기 위해 사용한다. ,"{""1"": ""객체 간의 동적 상호작용을 시간 개념을 중심으로 모델링  하는 것이다."", ""2"": ""주로 시스템의 정적 측면을 모델링하기 위해 사용한다."", ""3"": ""일반적으로 다이어그램의 수직 방향이 시간의 흐름을 나 타낸다."", ""4"": ""회귀 메시지(Self-Message), 제어블록(Statement block)  등으로 구성된다.""}"
2,메시지 지향 미들웨어(Message-Oriented Middleware.MOM)에 대한 설명으로 틀린 것은?,1,정답은 1번: 느리고 안정적인 응답보다는 즉각적인 응답이 필요한 온 라인 업무에 적합하다. ,"{""1"": ""느리고 안정적인 응답보다는 즉각적인 응답이 필요한 온 라인 업무에 적합하다."", ""2"": ""독립적인 애플리케이션을 하나의 통합된 시스템으로 묶기  위한 역할을 한다."", ""3"": ""송신측과 수신측의 연결 시 메시지 큐를 활용하는 방법이  있다."", ""4"": ""상이한 애플리케이션 간 통신을 비동기 방식으로 지원한 다.""}"
3,익스트림 프로그래밍에 대한 설명으로 틀린 것은?,1,정답은 1번: 대표적인 구조적 방법론 중 하나이다. ,"{""1"": ""대표적인 구조적 방법론 중 하나이다."", ""2"": ""소규모 개발 조직이 불확실하고 변경이 많은 요구를 접하 였을 때 적절한 방법이다."", ""3"": ""익스트림 프로그래밍을 구동시키는 원리는 상식적인 원리 와 경험을 최대한 끌어 올리는 것이다."", ""4"": ""구체적인 실천 방법을 정의하고 있으며, 개발 문서 보다 는 소스코드에 중점을 둔다.""}"
4,유스케이스(Use Case)의 구성 요소 간의 관계에 포함되지 않는 것은?,3,정답은 3번: 구체화 ,"{""1"": ""연관"", ""2"": ""확장"", ""3"": ""구체화"", ""4"": ""일반화""}"
5,요구사항 분석에서 비기능적(Nonfunctional) 요구에 대한 설명으로 옳은 것은?,2,정답은 2번: '차량 대여 시스템이 제공하는 모든 화면이 3초 이내에  사용자에게 보여야 한다'는 비기능적 요구이다. ,"{""1"": ""시스템의 처리량(Throughput), 반응 시간 등의 성능 요구 나 품질 요구는 비기능적 요구에 해당하지 않는다."", ""2"": ""'차량 대여 시스템이 제공하는 모든 화면이 3초 이내에  사용자에게 보여야 한다'는 비기능적 요구이다."", ""3"": ""시스템 구축과 관련된 안전, 보안에 대한 요구사항들은  비기능적 요구에 해당하지 않는다."", ""4"": ""'금융 시스템은 조회, 인출, 입금, 송금의 기능이 있어야  한다'는 비기능적 요구이다.""}"
6,정보공학 방법론에서 데이터베이스 설계의 표현으로 사용하는 모델링 언어는?,4,정답은 4번: Entity-Relationship Diagram ,"{""1"": ""Package Diagram"", ""2"": ""State Transition Diagram"", ""3"": ""Deployment Diagram"", ""4"": ""Entity-Relationship Diagram""}"
7,미들웨어(Middleware)에 대한 설명으로 틀린 것은?,2,정답은 2번: 미들웨어의 서비스 이용을 위해 사용자가 정보 교환 방법  등의 내부 동작을 쉽게 확인할 수 있어야 한다. ,"{""1"": ""여러 운영체제에서 응용 프로그램들 사이에 위치한 소프 트웨어이다."", ""2"": ""미들웨어의 서비스 이용을 위해 사용자가 정보 교환 방법  등의 내부 동작을 쉽게 확인할 수 있어야 한다."", ""3"": ""소프트웨어 컴포넌트를 연결하기 위한 준비된 인프라 구 조를 제공한다."", ""4"": ""여러 컴포넌트를 1대 1, 1대 다, 다대 다 등 여러 가지  형태로 연결이 가능하다.""}"
8,UI의 설계 지침으로 틀린 것은?,3,정답은 3번: 치명적인 오류에 대한 부정적인 사항은 사용자가 인지할  수 없도록 한다. ,"{""1"": ""이해하기 편하고 쉽게 사용할 수 있는 환경을 제공해야  한다."", ""2"": ""주요 기능을 메인 화면에 노출하여 조작이 쉽도록 하여야  한다."", ""3"": ""치명적인 오류에 대한 부정적인 사항은 사용자가 인지할  수 없도록 한다."", ""4"": ""사용자의 직무, 연령, 성별 등 다양한 계층을 수용하여야  한다.""}"
9,객체지향 개념에서 다형성(Polymorphism)과 관련한 설명으로틀린 것은?,4,"정답은 4번: 메소드 오버로딩(Overloading)의 경우 매개 변수 타입은  동일하지만 메소드명을 다르게 함으로써 구현, 구분할 수  있다. ","{""1"": ""다형성은 현재 코드를 변경하지 않고 새로운 클래스를 쉽 게 추가할 수 있게 한다."", ""2"": ""다형성이란 여러 가지 형태를 가지고 있다는 의미로, 여 러 형태를 받아들일 수 있는 특징을 말한다."", ""3"": ""메소드 오버라이딩(Overriding)은 상위 클래스에서 정의한  일반 메소드의 구현을 하위 클래스에서 무시하고 재정의 할 수 있다."", ""4"": ""메소드 오버로딩(Overloading)의 경우 매개 변수 타입은  동일하지만 메소드명을 다르게 함으로써 구현, 구분할 수  있다.""}"
10,소프트웨어 개발 영역을 결정하는 요소 중 다음 사항과 관계있는 것은?,4,정답은 4번: 인터페이스(Interface) ,"{""1"": ""기능(Function)"", ""2"": ""성능(Performance)"", ""3"": ""제약 조건(Constraint)"", ""4"": ""인터페이스(Interface)""}"
11,객체에 대한 설명으로 틀린 것은?,2,정답은 2번: 객체는 공통 속성을 공유하는 클래스들의 집합이다. ,"{""1"": ""객체는 상태, 동작, 고유 식별자를 가진 모든 것이라 할  수 있다."", ""2"": ""객체는 공통 속성을 공유하는 클래스들의 집합이다."", ""3"": ""객체는 필요한 자료 구조와 이에 수행되는 함수들을 가 진 하나의 독립된 존재이다."", ""4"": ""객체의 상태는 속성값에 의해 정의된다.""}"
12,속성과 관련된 연산(Operation)을 클래스 안에 묶어서 하나로 취급하는 것을 의미하는 객체지향 개념은?,3,정답은 3번: Encapsulation ,"{""1"": ""Inheritance"", ""2"": ""Class"", ""3"": ""Encapsulation"", ""4"": ""Association""}"
13,애자일(Agile) 프로세스 모델에 대한 설명으로 틀린 것은?,1,정답은 1번: 변화에 대한 대응보다는 자세한 계획을 중심으로 소프트 웨어를 개발한다. ,"{""1"": ""변화에 대한 대응보다는 자세한 계획을 중심으로 소프트 웨어를 개발한다."", ""2"": ""프로세스와 도구 중심이 아닌 개개인과의 상호소통을 통 해 의견을 수렴한다."", ""3"": ""협상과 계약보다는 고객과의 협력을 중시한다."", ""4"": ""문서 중심이 아닌, 실행 가능한 소프트웨어를 중시한다.""}"
14,명백한 역할을 가지고 독립적으로 존재할 수 있는 시스템의 부분으로 넓은 의미에서는 재사용되는 모든 단위라고 볼 수 있으며 인터페이스를 통해서만 접근할 수 있는 것은?,3,정답은 3번: Component ,"{""1"": ""Model"", ""2"": ""Sheet"", ""3"": ""Component"", ""4"": ""Cell""}"
15,"GoF(Gang of Four) 디자인 패턴을 생성, 구조, 행동 패턴의 세 그룹으로 분류할 때 구조 패턴이 아닌 것은?",3,정답은 3번: Builder 패턴 ,"{""1"": ""Adapter 패턴"", ""2"": ""Bridge 패턴"", ""3"": ""Builder 패턴"", ""4"": ""Proxy 패턴""}"
16,UI와 관련된 기본 개념 중 하나로 시스템의 상태와 사용자의 지시에 대한 효과를 보여주어 사용자가 명령에 대한 진행 상황과 표시된 내용을 해석할 수 있도록 도와주는 것은?,1,정답은 1번: Feedback ,"{""1"": ""Feedback"", ""2"": ""Posture"", ""3"": ""Module"", ""4"": ""Hash""}"
17,UI의 종류로 멀티 터치(Multi-touch) 동작 인식(GestureRecognition) 등 사용자의 자연스러운 움직임을 인식하여 서로 주고받는 정보를 제공하는 사용자 인터페이스를 의미하는 것은?,3,정답은 3번: NUI(Natural User Interface) ,"{""1"": ""GUI(Graphical User Interface)"", ""2"": ""OUI(Organic User Interface)"", ""3"": ""NUI(Natural User Interface)"", ""4"": ""CLI(Command Line Interface)""}"
18,소프트웨어 모델링과 관련한 설명으로 틀린 것은?,1,정답은 1번: 모델링 작업의 결과물은 다른 모델링 작업에 영향을 줄  수 없다. ,"{""1"": ""모델링 작업의 결과물은 다른 모델링 작업에 영향을 줄  수 없다."", ""2"": ""구조적 방법론에서는 DFD(Data Flow Diagram),  DD(Data Dictionary) 등을 사용하여 요구 사항의 결과를  표현한다."", ""3"": ""객체지향 방법론에서는 UML 표기법을 사용한다."", ""4"": ""소프트웨어 모델을 사용할 경우 개발될 소프트웨어에 대 한 이해도 및 이해 당사자 간의 의사소통 향상에 도움이  된다.""}"
19,유스케이스 다이어그램(Use Case Diagram)에 관련된 내용으로 틀린 것은?,1,정답은 1번: 시스템과 상호작용하는 외부시스템은 액터로 파악해서는  안된다. ,"{""1"": ""시스템과 상호작용하는 외부시스템은 액터로 파악해서는  안된다."", ""2"": ""유스케이스는 사용자 측면에서의 요구사항으로, 사용자 가 원하는 목표를 달성하기 위해 수행할 내용을 기술한 다."", ""3"": ""시스템 액터는 다른 프로젝트에서 이미 개발되어 사용되 고 있으며, 본 시스템과 데이터를 주고받는 등 서로 연 동되는 시스템을 말한다."", ""4"": ""액터가 인식할 수 없는 시스템 내부의 기능을 하나의 유 스케이스로 파악해서는 안된다.""}"
20,소프트웨어 아키텍처 모델 중 MVC(Model-View-Controller)와 관련한 설명으로 틀린 것은?,2,"정답은 2번: 모델(Model)은 뷰(View)와 제어(Controller) 사이에서 전 달자 역할을 하며, 뷰마다 모델 서브시스템이 각각 하나 씩 연결된다. ","{""1"": ""MVC 모델은 사용자 인터페이스를 담당하는 계층의 응집 도를 높일 수 있고, 여러 개의 다른 UI를 만들어 그 사 이에 결합도를 낮출 수 있다."", ""2"": ""모델(Model)은 뷰(View)와 제어(Controller) 사이에서 전 달자 역할을 하며, 뷰마다 모델 서브시스템이 각각 하나 씩 연결된다."", ""3"": ""뷰(View)는 모델(Model)에 있는 데이터를 사용자 인터페 이스에 보이는 역할을 담당한다."", ""4"": ""제어(Controller)는 모델(Model)에 명령을 보냄으로써 모 델의 상태를 변경할 수 있다.""}"
21,통합 테스트(Integration Test)와 관련한 설명으로 틀린 것은?,3,정답은 3번: 상향식 통합 테스트의 경우 시스템 구조도의 최상위에  있는 모듈을 먼저 구현하고 테스트한다. ,"{""1"": ""시스템을 구성하는 모듈의 인터페이스와 결합을 테스트 하는 것이다."", ""2"": ""하향식 통합 테스트의 경우 넓이 우선(Breadth First) 방 식으로 테스트를 할 모듈을 선택할 수 있다."", ""3"": ""상향식 통합 테스트의 경우 시스템 구조도의 최상위에  있는 모듈을 먼저 구현하고 테스트한다."", ""4"": ""모듈 간의 인터페이스와 시스템의 동작이 정상적으로 잘 되고 있는지를 빨리 파악하고자 할 때 상향식 보다는 하 향식 통합 테스트를 사용하는 것이 좋다.""}"
22,다음과 같이 레코드가 구성되어 있을 때 이진 검색 방법으로 14를 찾을 경우 비교되는 횟수는?,2,정답은 2번: 3 ,"{""1"": ""2"", ""2"": ""3"", ""3"": ""4"", ""4"": ""5""}"
23,소프트웨어 공학에서 워크스루(Walkthrough)에 대한 설명으로 틀린 것은?,3,정답은 3번: 인스펙션(Inspection)과 동일한 의미를 가진다. ,"{""1"": ""사용사례를 확장하여 명세하거나 설계 다이어그램, 원시 코드, 테스트 케이스 등에 적용할 수 있다."", ""2"": ""복잡한 알고리즘 또는 반복, 실시간 동작, 병행 처리와  같은 기능이나 동작을 이해하려고 할 때 유용하다."", ""3"": ""인스펙션(Inspection)과 동일한 의미를 가진다."", ""4"": ""단순한 테스트 케이스를 이용하여 프로덕트를 수작업으 로 수행해 보는 것이다.""}"
24,소프트웨어의 개발과정에서 소프트웨어의 변경사항을 관리하기 위해 개발된 일련의 활동을 뜻하는 것은?,2,정답은 2번: 형상관리 ,"{""1"": ""복호화"", ""2"": ""형상관리"", ""3"": ""저작권"", ""4"": ""크랙""}"
25,테스트 케이스와 관련한 설명으로 틀린 것은?,1,정답은 1번: 테스트의 목표 및 테스트 방법을 결정하기 전에 테스트  케이스를 작성해야 한다. ,"{""1"": ""테스트의 목표 및 테스트 방법을 결정하기 전에 테스트  케이스를 작성해야 한다."", ""2"": ""프로그램에 결함이 있더라도 입력에 대해 정상적인 결과 를 낼 수 있기 때문에 결함을 검사할 수 있는 테스트 케 이스를 찾는 것이 중요하다."", ""3"": ""개발된 서비스가 정의된 요구 사항을 준수하는지 확인하 기 위한 입력 값과 실행 조건, 예상 결과의 집합으로 볼  수 있다."", ""4"": ""테스트 케이스 실행이 통과되었는지 실패하였는지 판단 하기 위한 기준을 테스트 오라클(Test Oracle)이라고 한 다.""}"
26,객체지향 개념을 활용한 소프트웨어 구현과 관련한 설명 중 틀린 것은?,2,정답은 2번: JAVA에서 정보은닉(Information Hiding)을 표기할 때  private의 의미는 '공개'이다. ,"{""1"": ""객체(Object)란 필요한 자료 구조와 수행되는 함수들을  가진 하나의 독립된 존재이다."", ""2"": ""JAVA에서 정보은닉(Information Hiding)을 표기할 때  private의 의미는 '공개'이다."", ""3"": ""상속(Inheritance)은 개별 클래스를 상속 관계로 묶음으 로써 클래스 간의 체계화된 전체 구조를 파악하기 쉽다 는 장점이 있다."", ""4"": ""같은 클래스에 속하는 개개의 객체이자 하나의 클래스에 서 생성된 객체를 인스턴스(Instance)라고 한다.""}"
27,DRM(Digital Rights Management)과 관련한 설명으로 틀린 것은?,4,정답은 4번: 원본을 안전하게 유통하기 위한 전자적 보안은 고려하지  않기 때문에 불법 유통과 복제의 방지는 불가능하다. ,"{""1"": ""디지털 콘텐츠와 디바이스의 사용을 제한하기 위해 하드 웨어 제조업자, 저작권자, 출판업자 등이 사용할 수 있는  접근 제어 기술을 의미한다."", ""2"": ""디지털 미디어의 생명 주기 동안 발생하는 사용 권한 관 리, 과금, 유통 단계를 관리하는 기술로도 볼 수 있다."", ""3"": ""클리어링 하우스(Clearing House)는 사용자에게 콘텐츠  라이센스를 발급하고 권한을 부여해주는 시스템을 말한 다."", ""4"": ""원본을 안전하게 유통하기 위한 전자적 보안은 고려하지  않기 때문에 불법 유통과 복제의 방지는 불가능하다.""}"
28,위험 모니터링의 의미로 옳은 것은?,4,정답은 4번: 위험 요소 징후들에 대하여 계속적으로 인지하는 것 ,"{""1"": ""위험을 이해하는 것"", ""2"": ""첫 번째 조치로 위험을 피할 수 있도록 하는 것"", ""3"": ""위험 발생 후 즉시 조치하는 것"", ""4"": ""위험 요소 징후들에 대하여 계속적으로 인지하는 것""}"
29,동시에 소스를 수정하는 것을 방지하며 다른 방향으로 진행된 개발 결과를 합치거나 변경 내용을 추적할 수 있는 소프트웨어 버전 관리 도구는?,1,정답은 1번: RCS(Revision Control System) ,"{""1"": ""RCS(Revision Control System)"", ""2"": ""RTS(Reliable Transfer Service)"", ""3"": ""RPC(Remote Procedure Call)"", ""4"": ""RVS(Relative Version System)""}"
30,화이트박스 테스트와 관련한 설명으로 틀린 것은?,3,정답은 3번: 프로그램의 구조를 고려하지 않기 때문에 테스트 케이스 는 프로그램 또는 모듈의 요구나 명세를 기초로 결정한 다. ,"{""1"": ""화이트박스 테스트의 이해를 위해 논리흐름도 (Logic-Flow Diagram)를 이용할 수 있다."", ""2"": ""테스트 데이터를 이용해 실제 프로그램을 실행함으로써  오류를 찾는 동적 테스트(Dynamic Test)에 해당한다."", ""3"": ""프로그램의 구조를 고려하지 않기 때문에 테스트 케이스 는 프로그램 또는 모듈의 요구나 명세를 기초로 결정한 다."", ""4"": ""테스트 데이터를 선택하기 위하여 검증기준(Test  Coverage)을 정한다.""}"
31,알고리즘과 관련한 설명으로 틀린 것은?,4,정답은 4번: 선형 검색은 검색을 수행하기 전에 반드시 데이터의 집 합이 정렬되어 있어야 한다. ,"{""1"": ""주어진 작업을 수행하는 컴퓨터 명령어를 순서대로 나열 한 것으로 볼 수 있다."", ""2"": ""검색(Searching)은 정렬이 되지 않은 데이터 혹은 정렬 이 된 데이터 중에서 키값에 해당되는 데이터를 찾는 알 고리즘이다."", ""3"": ""정렬(Sorting)은 흩어져있는 데이터를 키값을 이용하여  순서대로 열거하는 알고리즘이다."", ""4"": ""선형 검색은 검색을 수행하기 전에 반드시 데이터의 집 합이 정렬되어 있어야 한다.""}"
32,버블 정렬을 이용하여 다음 자료를 오름차순으로 정렬할 경우 PASS 1의 결과는?,4,"정답은 4번: 6, 7, 3, 5, 9 ","{""1"": ""6, 9, 7, 3, 5"", ""2"": ""3, 9, 6, 7, 5"", ""3"": ""3, 6, 7, 9, 5"", ""4"": ""6, 7, 3, 5, 9""}"
33,다음은 인스펙션(Inspection) 과정을 표현한 것이다. (가)~(마)에 들어갈 말을 보기에서 찾아 바르게 연결한 것은?,2,"정답은 2번: (나) - ㉠, (다) - ㉢ ","{""1"": ""(가) - ㉡, (나) - ㉢"", ""2"": ""(나) - ㉠, (다) - ㉢"", ""3"": ""(다) - ㉢, (라) - ㉤"", ""4"": ""(라) - ㉣, (마) - ㉢""}"
34,소프트웨어를 보다 쉽게 이해할 수 있고 적은 비용으로 수정할 수 있도록 겉으로 보이는 동작의 변화 없이 내부구조를 변경하는 것은?,1,정답은 1번: Refactoring ,"{""1"": ""Refactoring"", ""2"": ""Architecting"", ""3"": ""Specification"", ""4"": ""Renewal""}"
35,단위 테스트(Unit Test)와 관련한 설명으로 틀린 것은?,3,"정답은 3번: 필요 데이터를 인자를 통해 넘겨주고, 테스트 완료 후  그 결과값을 받는 역할을 하는 가상의 모듈을 테스트 스 텁(Stub)이라고 한다. ","{""1"": ""구현 단계에서 각 모듈의 개발을 완료한 후 개발자가 명 세서의 내용대로 정확히 구현되었는지 테스트한다."", ""2"": ""모듈 내부의 구조를 구체적으로 볼 수 있는 구조적 테스 트를 주로 시행한다."", ""3"": ""필요 데이터를 인자를 통해 넘겨주고, 테스트 완료 후  그 결과값을 받는 역할을 하는 가상의 모듈을 테스트 스 텁(Stub)이라고 한다."", ""4"": ""테스트할 모듈을 호출하는 모듈도 있고, 테스트할 모듈 이 호출하는 모듈도 있다.""}"
36,IDE(Integrated Development Environment) 도구의 각 기능에 대한 설명으로 틀린 것은?,2,정답은 2번: Compile - 저급언어의 프로그램을 고급언어 프로그램으 로 변환하는 기능 ,"{""1"": ""Coding - 프로그래밍 언어를 가지고 컴퓨터 프로그램을  작성할 수 있는 환경을 제공"", ""2"": ""Compile - 저급언어의 프로그램을 고급언어 프로그램으 로 변환하는 기능"", ""3"": ""Debugging - 프로그램에서 발견되는 버그를 찾아 수정 할 수 있는 기능"", ""4"": ""Deployment - 소프트웨어를 최종 사용자에게 전달하기  위한 기능""}"
37,아래 Tree 구조에 대하여 후위 순회(Postorder) 한 결과는?,2,정답은 2번: d → b → g → h → e → f → c → a ,"{""1"": ""a → b → d → c → e → g → h → f"", ""2"": ""d → b → g → h → e → f → c → a"", ""3"": ""d → b → a → g → e → h → c → f"", ""4"": ""a → b → d → g → e → h → c → f""}"
38,인터페이스 구현 시 사용하는 기술로 속성-값 쌍(Attribute-Value Pairs)으로 이루어진 데이터 오브젝트를 전달하기 위해 사용하는 개방형 표준 포맷은?,1,정답은 1번: JSON ,"{""1"": ""JSON"", ""2"": ""HTML"", ""3"": ""AVPN"", ""4"": ""DOF""}"
39,"순서가 있는 리스트에서 데이터의 삽입(Push) , 삭제(Pop)가 한 쪽 끝에서 일어나며 LIFO(Last-In-First-Out)의 특징을가지는 자료구조는?",3,정답은 3번: Stack ,"{""1"": ""Tree"", ""2"": ""Graph"", ""3"": ""Stack"", ""4"": ""Queue""}"
40,다음 중 단위 테스트 도구로 사용될 수 없는 것은?,4,정답은 4번: IgpUnit ,"{""1"": ""CppUnit"", ""2"": ""JUnit"", ""3"": ""HttpUnit"", ""4"": ""IgpUnit""}"
41,다음 조건을 모두 만족하는 정규형은?,1,정답은 1번: BCNF ,"{""1"": ""BCNF"", ""2"": ""제1정규형"", ""3"": ""제2정규형"", ""4"": ""제3정규형""}"
42,데이터베이스의 트랜잭션 성질들 중에서 다음 설명에 해당하는 것은?,1,정답은 1번: Atomicity ,"{""1"": ""Atomicity"", ""2"": ""Consistency"", ""3"": ""Isolation"", ""4"": ""Durability""}"
43,분산 데이터베이스 시스템과 관련한 설명으로 틀린 것은?,4,정답은 4번: 데이터베이스가 분산되어 있음을 사용자가 인식할 수 있 도록 분산 투명성(Distribution Transparency)을 배제해 야 한다. ,"{""1"": ""물리적으로 분산된 데이터베이스 시스템을 논리적으로  하나의 데이터베이스 시스템처럼 사용할 수 있도록 한  것이다."", ""2"": ""물리적으로 분산되어 지역별로 필요한 데이터를 처리할  수 있는 지역 컴퓨터(Local Computer)를 분산 처리기 (Distributed Processor)라고 한다."", ""3"": ""분산 데이터베이스 시스템을 위한 통신 네트워크 구조가  데이터 통신에 영향을 주므로 효율적으로 설계해야 한 다."", ""4"": ""데이터베이스가 분산되어 있음을 사용자가 인식할 수 있 도록 분산 투명성(Distribution Transparency)을 배제해 야 한다.""}"
44,다음 테이블을 보고 강남지점의 판매량이 많은 제품부터 출력되도록 할 때 다음 중 가장 적절한 SQL 구문은? (출력은 제품명과 판매량이 출력되도록 한다.),4,"정답은 4번: SELECT 제품명, 판매량 FROM 푸드 WHERE 지점명 = '강남지점' ORDER BY 판매량 DESC; ","{""1"": ""SELECT 제품명, 판매량 FROM 푸드 ORDER BY 판매량 ASC;"", ""2"": ""SELECT 제품명, 판매량 FROM 푸드 ORDER BY 판매량 DESC;"", ""3"": ""SELECT 제품명, 판매량 FROM 푸드 WHERE 지점명 = '강남지점' ORDER BY 판매량 ASC;"", ""4"": ""SELECT 제품명, 판매량 FROM 푸드 WHERE 지점명 = '강남지점' ORDER BY 판매량 DESC;""}"
45,데이터베이스의 인덱스와 관련한 설명으로 틀린 것은?,3,"정답은 3번: 인덱스의 추가, 삭제 명령어는 각각 ADD, DELETE이다. ","{""1"": ""문헌의 색인, 사전과 같이 데이터를 쉽고 빠르게 찾을  수 있도록 만든 데이터 구조이다."", ""2"": ""테이블에 붙여진 색인으로 데이터 검색 시 처리 속도 향 상에 도움이 된다."", ""3"": ""인덱스의 추가, 삭제 명령어는 각각 ADD, DELETE이다."", ""4"": ""대부분의 데이터베이스에서 테이블을 삭제하면 인덱스도  같이 삭제된다.""}"
